id,date_proposed,date_opened,date_closed,taken,ticker,creator,structure,strike,expiry,dte,contracts,spot_at_idea,premium_per_share,credit_or_debit,capital_at_risk,exp_roc_pct,exp_weekly_pct,exp_acct_pct,max_loss_pct,status,realized_pnl,realized_roc_pct,realized_acct_pct,invalidation,notes,paper_status,paper_pnl,paper_roc_pct,paper_acct_pct,live_stock,live_option_mid,mtm_asof,source_group,inventory_id,confidence,confidence_reason
53,2026-08-31,,,proposed,OSCR,TLI+Danny,stock+CC,30.0,2026-09-11,11,1,29.93,1.31,131,2993,0.0438,0.0279,0.00524,,proposed,,,,daily close under $28,"Mon 8/31 morning email. Medium. Danny $28-30 support and TLI $28-30 healthy pullback (buy zone still $21-25). Buy 100 sh ~29.93, sell Sep11 30c credit 1.31 (CBOE last; 1.16x1.35). 2.8%/wk on $2,993. One lot.",expired,138.0,0.046108,0.00276,29.6,,2026-09-25 13:00:00 PT,emailed,2026-08-31-AM-OSCR,Medium,"Danny nearby support $28–$30 and TLI $28–$30 healthy pullback, both at the hold range, under the cap. TLI's actual buy zone is still $21–$25, so this is not High. One lot."
54,2026-08-31,,,proposed,PFE,TLI,stock+CC,28.0,2026-09-11,11,1,28.23,0.40,40,2823,0.0142,0.0090,0.00160,,proposed,,,,daily close under $27.45,"Mon 8/31 morning email. Medium. TLI bull-case $27.45 retest, +6.1% div. Buy 100 sh ~28.23, sell Sep11 28c credit 0.40 (CBOE last; 0.37x0.44). 0.9%/wk on $2,823. One lot.",expired,-11.0,-0.003897,-0.00022,28.41,0.0,2026-09-24 13:25:24 PT,emailed,2026-08-31-AM-PFE,Medium,"TLI safe-haven retest of the bull-case line $27.45, +6.1% div, under the cap. Single feed. One lot."
55,2026-09-01,,,proposed,ONDS,Danny+TLI,stock+CC,7.5,2026-09-11,10,1,7.20,0.31,31,720,0.0431,0.0301,0.00124,,proposed,,,,daily close under $7.00,"Tue 9/1 morning email. High. TLI buy zone / $7 hold + Danny $7.20 support. Buy 100 sh ~7.20, sell Sep11 7.50c credit 0.31 (CBOE 0.25x0.37). 3.0%/wk on $720. One lot.",expired,34.0,0.047222,0.00068,7.64,0.0,2026-09-25 13:00:00 PT,emailed,2026-09-01-AM-ONDS,High,TLI in the buy zone and wants $7 to hold; Danny support $6 / $6.60 / $7.20; under the cap. One lot.
56,2026-09-01,,,proposed,NOK,Danny,stock+CC,10.0,2026-09-11,10,1,9.83,0.38,38,983,0.0387,0.0271,0.00152,,proposed,,,,daily close under $8.70,"Tue 9/1 morning email. Medium. Danny $9.80 support. Buy 100 sh ~9.83, sell Sep11 10c credit 0.38 (CBOE 0.36x0.40). 2.7%/wk on $983. One lot.",expired,55.0,0.055951,0.0011,10.43,,2026-09-24 13:25:03 PT,emailed,2026-09-01-AM-NOK,Medium,Danny $9.80 support (day low $9.82). Single feed. Under the cap. One lot.
57,2026-09-02,,,proposed,BABA,TLI,long call,113.0,2026-09-11,9,1,112.59,2.43,243,243,0.646,0.503,0.00628,1,proposed,,,,daily close under $112,Wed 9/2 morning email. Medium. TLI rotate-INTO + add zone $112–117. Buy 1 Sep11 113c debit 2.43 (CBOE 2.30x2.56). ~50%/wk if tags $117. One lot. Max loss 100% debit.,invalidated,-243.0,-1.0,-0.00486,109.74,,2026-09-25 13:25:58 PT,emailed,2026-09-02-AM-BABA,Medium,TLI rotate-INTO + add zone $112–117; stock in the zone. Over the share cap so long call. One lot.
58,2026-09-02,,,proposed,UPS,TLI,long call,104.0,2026-09-11,9,1,103.08,1.055,106,106,2.791,2.171,0.01176,1,proposed,,,,daily close under $102,Wed 9/2 morning email. Medium. TLI 50 WMA $102 hold. Buy 1 Sep11 104c debit 1.055 (CBOE 0.91x1.20). ~217%/wk if tags $108. One lot. Max loss 100% debit.,invalidated,-106.0,-1.0,-0.00212,92.05,,2026-09-24 13:21:56 PT,emailed,2026-09-02-AM-UPS,Medium,TLI holding 50 WMA $102 ~3 weeks; open/add; 6.2% div. Over the share cap so long call. One lot.
59,2026-09-02,,,proposed,QCOM,Danny,long call,167.5,2026-09-11,9,1,166.55,3.675,368,368,0.224,0.175,0.00332,1,proposed,,,,daily close under $162,Wed 9/2 morning email. Medium. Danny vol hole / red ribbon at $162 support. Buy 1 Sep11 167.50c debit 3.675 (CBOE 3.40x3.95). ~17.5%/wk if tags $172. One lot. Max loss 100% debit.,expired,1079.0,2.932065,0.02158,201.97,,2026-09-25 13:00:00 PT,emailed,2026-09-02-AM-QCOM,Medium,Danny vol hole marked the low; bullish red ribbon; stock in the $162 support area. Over the share cap so long call. One lot.
60,2026-09-09,,,proposed,ZETA,Danny,stock+CC,31.0,2026-09-11,2,1,30.79,0.70,70,3079,0.0227,0.0795,0.0028,,proposed,,,,daily close under $30,"Wed 9/9 morning email. Medium. Danny $30-$32 consol / $30 support. Buy 100 sh ~30.79, sell Sep11 31c credit 0.70 (CBOE last; 0.58x0.74). ~2.3% ROC / ~8.0%/wk on $3,079. One lot.",expired,9.0,0.002923,0.00018,29.57,0.0,2026-09-24 13:18:57 PT,emailed,2026-09-09-AM-ZETA,Medium,Danny consolidating $30-$32 sitting on $30 support; single feed; under the cap. One lot.
61,2026-09-09,,,proposed,KHC,TLI,stock+CC,25.0,2026-09-11,2,1,24.90,0.28,28,2490,0.0112,0.0393,0.00112,,proposed,,,,daily close under $24.22,"Wed 9/9 morning email. Medium. TLI Buy Zone / 50 WMA $24.22. Buy 100 sh ~24.90, sell Sep11 25c credit 0.28 (CBOE last; 0.21x0.30). ~1.1% ROC / ~3.9%/wk on $2,490. One lot.",expired,-2.0,-0.000803,-4e-05,23.86,0.0,2026-09-24 13:24:24 PT,emailed,2026-09-09-AM-KHC,Medium,TLI Buy Zone / 50 WMA at $24.22; stock tested the zone; single feed; under the cap. One lot.
62,2026-09-11,,,proposed,NVO,TLI,stock+CC,43.0,2026-09-18,7,1,42.93,0.72,72,4293.0,0.0168,0.0168,0.00288,,proposed,,,,daily close under $41.50," Sep11 noon Medium. Credit 0.72. Weekly ~1.7% on $4,293. One lot.",expired,79.0,0.018402,0.00158,38.8,,2026-09-25 13:00:00 PT,emailed,2026-09-11-noon-NVO,Medium,TLI Buy Zone ~$43.48 (0.5 Fib); stock now in/under zone; single feed; under the cap. One lot.
63,2026-09-11,,,proposed,HIMS,Danny,stock+CC,28.0,2026-09-18,7,1,27.245,0.66,66,2724.5,0.0242,0.0242,0.00264,,proposed,,,,daily close under $25.20," Sep11 noon Medium. Credit 0.66. Weekly ~2.4% on $2,724.50. One lot.",leftover_shares,283.5,0.104056,0.00567,29.42,0.0,2026-09-25 13:00:00 PT,emailed,2026-09-11-noon-HIMS,Medium,Danny $27 support / $27–32 range; stock at support; single feed; under the cap. One lot.
64,2026-09-18,,,proposed,TOST,Stocktimus,stock+CC,30.0,2026-09-25,7,1,30.18,1.12,112,3018.0,0.037111,,0.00224,,proposed,,,,daily close under $29,Aug 13 noon Stocktimus email (was missing from CSV). Stocktimus morning email 0.0371,expired,94.0,0.031146,0.00188,30.6,0.89,2026-09-25 13:25:42 PT,emailed,2026-09-18-AM-TOST,Medium,TLI ~$30 support (200DMA/0.5 Fib); stock at the zone. One lot under cap.
65,2026-09-18,,,proposed,SE,Stocktimus,stock+CC,100.0,2026-09-25,7,1,100.25,3.275,328,10025.0,0.032718,,0.00656,,proposed,,,,daily close under $97,Aug 13 noon Stocktimus email (was missing from CSV). Stocktimus morning email 0.0327,leftover_shares,258.0,0.025736,0.00516,99.55,0.0,2026-09-25 13:00:00 PT,emailed,2026-09-18-AM-SE,Medium,TLI BUY ALERT $106; stock ~$100 under alert. One lot under $12.5k cap.
66,2026-09-18,,,proposed,BABA,Stocktimus,stock+CC,110.0,2026-09-25,7,1,112.08,4.275,428,11208.0,0.038187,,0.00856,,proposed,,,,daily close under $107,Aug 13 noon Stocktimus email (was missing from CSV). Stocktimus morning email 0.0381,leftover_shares,194.0,0.017309,0.00388,109.74,0.0,2026-09-25 13:25:58 PT,emailed,2026-09-18-AM-BABA,Medium,TLI tradeable: still in buy zone after $107 Fib test; next $117. One lot under cap.
67,2026-09-18,,,proposed,HOOD,Stocktimus,stock+CC,112.0,2026-09-25,7,1,113.07,4.525,453,11307.0,0.040064,,0.00906,,proposed,,,,daily close under $108,Aug 13 noon Stocktimus email (was missing from CSV). Stocktimus morning email 0.04,expired,346.0,0.030601,0.00692,119.4,7.375,2026-09-25 13:00:00 PT,emailed,2026-09-18-AM-HOOD,Medium,Danny reclaim $112.20; stock just above. Support $108/$100. One lot under cap.
68,2026-09-18,,,proposed,NFLX,Stocktimus,stock+CC,72.0,2026-09-25,7,1,72.085,1.27,127,7208.499999999999,0.017618,,0.00254,,proposed,,,,daily close under $72,Aug 13 noon Stocktimus email (was missing from CSV). Stocktimus midday email 0.0176,invalidated,97.5,0.013526,0.00195,71.145,0.01,2026-09-25 13:00:00 PT,emailed,2026-09-18-noon-NFLX,Medium,"TLI buy if $72–$74 holds; AM was under (~$71.4), noon prints in zone."
69,2026-09-18,,,proposed,EOSE,Stocktimus,stock+CC,4.0,2026-09-25,7,1,3.94,0.165,16,394.0,0.040609,,0.00032,,proposed,,,,daily close under $3.80,Aug 13 noon Stocktimus email (was missing from CSV). Stocktimus midday email 0.0419,invalidated,-20.0,-0.050761,-0.0004,3.165,0.01,2026-09-25 13:00:00 PT,emailed,2026-09-18-noon-EOSE,Medium,Rabbit's Cave: $3.80 weekly / $3.91 cloud-Fib / ~$3.88 purple support; stock at the shelf.
70,2026-09-21,,,proposed,MRAM,Stocktimus,stock+CC,17.5,2026-10-16,25,1,17.17,1.35,135,1717.0000000000002,0.078626,,0.0027,,proposed,,,,daily close under $16.35,Aug 13 noon Stocktimus email (was missing from CSV). Stocktimus midday email Sep 21 0.022,open,40.0,0.023296,0.0008,18.47,2.25,2026-09-25 13:00:00 PT,emailed,2026-09-21-noon-MRAM,Medium,TLI hold above $16.35 toward $20.87. No weeklies; next monthly. One lot under cap.
71,2026-09-21,,,proposed,IREN,Stocktimus,stock+CC,47.5,2026-09-25,4,1,47.27,1.72,172,4727.0,0.036387,,0.00344,,proposed,,,,daily close under $47,Aug 13 noon Stocktimus email (was missing from CSV). Stocktimus morning email Sep 21 0.0364,invalidated,60.0,0.012693,0.0012,44.125,0.01,2026-09-25 13:30:31 PT,emailed,2026-09-21-AM-IREN,Medium,TLI break/hold $47 toward $67. One lot under cap.
72,2026-09-21,,,proposed,NFLX,Stocktimus,stock+CC,73.0,2026-09-25,4,1,73.05,1.11,111,7305.0,0.015195,,0.00222,,proposed,,,,daily close under $69,Aug 13 noon Stocktimus email (was missing from CSV). Stocktimus morning email Sep 21 0.0152,leftover_shares,-79.5,-0.010883,-0.00159,71.145,0.0,2026-09-25 13:00:00 PT,emailed,2026-09-21-AM-NFLX,Medium,TLI buy zone $69–$72; stock at the top. Prior Fri lot invalidated. One lot under cap.
73,2026-09-21,,,proposed,HIMS,Stocktimus,stock+CC,28.5,2026-09-25,4,1,28.41,0.84,84,0.0,,,0.00168,,proposed,,,,daily close under $28,Aug 13 noon Stocktimus email (was missing from CSV). Stocktimus morning email Sep 21 0.0296,expired,93.0,,0.00186,29.42,0.8,2026-09-25 13:00:00 PT,emailed,2026-09-21-AM-HIMS,Medium,TLI hold/flip $28; roll leftovers instead of selling. Covered-call roll — share capital stays on parent.
76,2026-09-22,2026-09-22,,proposed,GRRR,TLI,stock+CC,14.0,2026-09-25,3,1,13.95,0.45,45.0,1395.0,,,,,proposed,,,,daily close under $13.56 (MA confluence),,expired,50.0,0.035842,0.001,14.01,0.55,2026-09-25 13:00:00 PT,emailed,2026-09-22-noon-GRRR,Medium,TLI breakout above $13.56–$13.70 50/200-day MA confluence; Wave 3 confirm $16.50 / Bull $18.20. One lot fits remaining cash.
74,2026-09-22,,,proposed,ADBE,TLI,long call,245.0,2026-09-25,3,1,243.025,4.225,422.5,422.5,,2.64,,,proposed,,,,daily close under $242,Debit mid 4.225 (CBOE 3.95x4.50). Stocktimus morning email Sep 22.,invalidated,-422.5,-1.0,-0.00845,235.47,0.01,2026-09-25 13:00:00 PT,emailed,2026-09-22-AM-ADBE,Medium,TLI starter $242–$251 when $242 Fib holds; share lot over max/cash so long call. One lot.
75,2026-09-22,,,proposed,CLSK,TLI,stock+CC,15.0,2026-09-25,3,1,14.9528,0.52,52.0,1495.28,,0.081,,,proposed,,,,daily close under $14.50,Credit mid 0.52 (CBOE 0.49x0.55). Stocktimus morning email Sep 22.,invalidated,2.72,0.001819,5.4e-05,13.95,0.01,2026-09-25 13:00:00 PT,emailed,2026-09-22-AM-CLSK,Medium,TLI reclaim/hold $15 as support (Sep21 noon); stock still at the level. One lot under remaining cash.
